Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
698e634c490ea5a44a29c8d0,697df9aa934d8b9de8f2afe9,RETURNED,Not Applicable,2026-02-12T23:33:38.329000Z,,,2026-02-13T15:06:22.463579Z,,,198,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e637fa19d306a70744a8e,6987e4e84c30cc8f8cdeaacc,RETURNED,Not Applicable,2026-02-12T23:34:32.521000Z,,,2026-02-13T15:06:22.464430Z,,,43,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e65b5b0f55ae126682950,5b7aefd06c1ccb000178b710,RETURNED,Not Applicable,2026-02-12T23:46:35.610000Z,,,2026-02-13T15:06:22.464595Z,,,3686,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e668bf58a34e97852e847,607a7b7d300ce256f51706bd,RETURNED,Not Applicable,2026-02-12T23:47:29.694000Z,,,2026-02-13T15:06:22.468826Z,,,8307,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e66ac6670a83fc58e9fbc,672268205351c30413c9837e,RETURNED,Not Applicable,2026-02-12T23:48:00.231000Z,,,2026-02-13T15:06:22.454843Z,,,6552,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e66bede0c6eded42ff9df,68483d40185598902b719f20,RETURNED,Not Applicable,2026-02-12T23:48:39.843000Z,,,2026-02-13T15:06:22.468058Z,,,2928,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e670058b6b2672580f0d2,698bdc7c973395d9119ce9fb,RETURNED,Not Applicable,2026-02-12T23:49:24.851000Z,,,2026-02-13T15:06:22.454722Z,,,6,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e671f6b29671e300df2ba,60a2a8570a0f9cc00d6b9d1a,RETURNED,Not Applicable,2026-02-12T23:49:56.281000Z,,,2026-02-13T15:06:22.458910Z,,,7779,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e67439a6aed73882dc595,5d29d6bd30fa6f0015cd4a75,RETURNED,Not Applicable,2026-02-12T23:50:30.735000Z,,,2026-02-13T15:06:22.490390Z,,,5345,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e675bb4e185b6a36fb02f,698bdaeb942b5632c09b6cab,RETURNED,Not Applicable,2026-02-12T23:51:00.441000Z,,,2026-02-13T15:06:22.477394Z,,,22,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
